No,管理No,部屋名,X座標,Y座標,radius,イベント順序,イベント名,イベント本文,選択肢１名称,選択肢１本文（結果）,選択肢１経過時間,選択肢２名称,選択肢２本文（結果）,選択肢２経過時間,選択肢３名称,選択肢３本文（結果）,選択肢３経過時間,選択肢４名称,選択肢４本文（結果）,選択肢４経過時間,
121,21,B-MRI室前室,153,291,10,1,酸素濃度計,アラーム鳴動。,退避する,使用禁止にする,1,中に誰かいないか入って確認する,扉が閉まってしまい、窒息してしまう,10,扉を少しだけ開け中の人を確認する。,人の存在を確認する,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
122,21,B-MRI室前室,153,291,10,2,ガラス割れている,監視窓破損している,テープ養生,飛散防止。,3,部屋を使用禁止にする,張り紙を貼る,1,破片の回収を行う,手を切ってしまう,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
123,21,B-MRI室前室,153,291,10,3,電子カルテ端末が倒れケーブルがむき出しとなっている,よく見るとケーブルが断線している,モニターケーブルを外す,落下防止にする,1,電源ケーブルを抜く,感電リスクを無くした,1,電子カルテが使えるか確認する,断線個所から発火,4,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
124,16,A-MRI室,732,678,10,1,ドア変形,シールドドア開かない。,中に人がいるか確認する,大声で確認したら、人がいること確認した,2,こじ開ける,困難。,10,窓を破壊する,ハンマーを探して破戒して人名救出,7,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
125,16,A-MRI室,732,678,10,2,ヘリウム排気管,亀裂発見。,立入禁止,酸欠防止。,2,塞ぐ,養生テープでは粘着力が弱いが応急措置,2,クエンチ措置を行う,使用禁止になる,12,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
126,16,A-MRI室,732,678,10,3,エアコンから水漏れ,天井から水が落下,エアコンの電源を落とす,感電リスク回避,1,人を呼ぶ,誰も来ない,1,吸水シートを引いておく,一次措置,2,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
127,14,A-MRI（機械室）,682,669,15,1,機械室異音,ガスが噴射しているような音がする,入室禁止にする,窒息回避。,1,扉を開放する,ガスが勢いよく噴き出す,1,少しだけ開けて中にいる人を確認する,生存確認して閉じる,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
128,14,A-MRI（機械室）,682,669,15,2,グレーディング音,異音がしている,スキャン停止,機器保護。,2,そのままにする,故障の確認をする,5,マニュアルを探して対応する,時間が経過する,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
129,14,A-MRI（機械室）,682,669,15,3,パネルユニットの発熱,ユニットの一部から煙が出ている,消火器で消火,冷却。,5,電源ユニットのブレーカーを遮断,とりあえず火災予防する,1,非常ベルを押す,電源が落ちていて作動しない,1,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
130,15,A-MRI（待合）,822,634,10,1,ストレッチャーが倒れている,磁性体のストレッチャーが置いてある,ブレーキ・保持,吸着事故防止。,2,廊下に出す,安全が確認されるまで,0,壁に寄せておく,キャスターの損傷がわかる。傾いている,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
131,15,A-MRI（待合）,822,634,10,2,金属探知機,立位式の探知機の転倒,起こす,通行確保。,1,電源が付くか確認する,電源が付かない,1,壁に寄せておく,器物損壊していることが判明,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
132,15,A-MRI（待合）,822,634,10,3,薬品が散乱している,生食が散乱している,回収する,拾い集める,1,余震発生,生食を踏んで床が濡れてしまう。,1,棚に戻す,以外に時間がかかった,3,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
133,3,スタッフ廊下,462,504,5,1,薬品棚崩壊,棚の固定があまく傾いている,迂回・封鎖,通路を迂回するように封鎖する,3,棚をもどしてみる,重たくて動かないだけでなく、より危険な状態となる。,10,ガラス瓶だけ回収する,危険を除外する,9,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
134,3,スタッフ廊下,462,504,5,2,Zioモニターの落下,破片が散乱している,モニターのみ片付ける,モニターを端によけた,2,そこらへん一帯のモニターをどける,余震でも通路確保（予防措置）,5,ケーブルから外してどかす,ケーブル断線有無を確認できた,4,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
135,3,スタッフ廊下,462,504,5,3,天井パネルの落下,パネルが3枚落下している（天井配管がむき出しとなっている）,掃除する,通路確保。,7,カバーを掛ける,以外に時間がかかる,3,床にシートを引く,怪我の防止,2,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
136,7,待合（一般撮影室前）,515,403,10,1,スプリンクラーの故障,スプリンクラーの故障で水放出,迂回誘導,濡れ・冷え防止。,3,バケツ置く,すぐにいっぱいになる,2,元栓探す,不明。,10,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
137,7,待合（一般撮影室前）,515,403,10,2,認知症患者がいる,救急外来受診患者が徘徊している,誘導する,二次被害防止ただ、そのあとはどこに行ったか不明,5,救急外来に連れていく,パニックになっているので落ち着かせる,2,無視,行方不明となる,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
138,7,待合（一般撮影室前）,515,403,10,3,ライトが割れている,割れたガラスが散乱している,エリア分け,動線確保する。,3,掃除する,以外に時間がかかる,5,テープを張る,危険回避,3,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
139,41,自動扉（B棟）,573,399,20,1,自動扉,ガラスが割れており、自動扉がふさがったまま,迂回する,危険なので後回しにする。,1,近くにあった椅子で封鎖,2次災害を防ぐ,5,張り紙を貼る,見えないかもしれない,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
140,14,A-MRI（機械室）,682,669,29,1,物が散乱,機材倉庫の棚から資材が落下,懐中電灯の発見,取得,1,危険と判断し、封鎖,2次災害を防ぐ,2,使えるものを探す,物で指を怪我する,5,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
141,13,EV前（ポータブル置き場）,480,360,10,1,天井パネル落下,ポータブル装置周囲に天井パネルが散乱している,損傷の確認,周囲の確認を行った,1,電源が付くか確認する,電源の確認。起動した,1,テスト照射,照射可能,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
142,13,EV前（ポータブル置き場）,480,360,10,2,FPDの接続不良,FPDとの接続ができていないように感じる,Wifiの確認,RISが起動しているが院内LANが停止していることがわかった,1,FPDとの再接続,再接続でできた,2,予備のCR充填,いつでも使用できるようにする。準備,1,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
143,27,CT室機械室,325,483,10,3,発熱しているユニットがあるように思う,空調停止が停止している。,ドア開放,冷却。,2,氷置く,水没故障。,0,仰ぐ,効果薄。,1,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
144,32,備品置場,284,216,10,1,棚の転倒,スチール棚が倒れ、通路を塞いでいる。,迂回・立入禁止,安全を確保し、他のルートを探した。,1,無理に通る,服が引っかかり、棚がさらに崩れて怪我をした。,10,一人で起こす,重すぎて腰を痛め、動けなくなった。,30,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
145,33,CT(シュミレータ室）,243,171,10,1,ガントリ外装異常,CT装置のカバーが外れかかっている。,使用中止・目視確認,損傷の拡大を防ぎ、安全を確保した。,1,動作確認(回転),内部で部品が干渉し、異音と共に破損した。,10,カバーを押し込む,固定爪が割れ、完全に閉まらなくなった。,5,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
146,33,CT(シュミレータ室）,243,171,10,2,レーザー投光器ズレ,壁のレーザー位置が目視でズレている。,使用禁止表示,精度不良による医療事故を未然に防いだ。,1,手で直す,正確な位置に戻らず、照射位置が狂った。,15,テープで固定,時間の無駄で、後で糊の除去が必要になった。,5,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
147,33,CT(シュミレータ室）,243,171,10,3,水ファントム落下,棚の水ファントムが落下しそうになっている。,直下立入禁止,重量物落下による人身事故を防いだ。,1,支えて戻す,重さに耐えきれず、共に転倒し圧死しかけた。,60,水を抜く,水が床にこぼれ、機器が漏電ショートした。,10,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
148,35,階段B棟,575,296,10,1,壁面の亀裂,壁に大きなX型の亀裂が入り、粉塵が舞っている。,使用禁止・封鎖,余震による崩落事故を防いだ。,2,駆けのぼる,躓いて転倒し、階段下まで落下した。,15,亀裂を覗く,破片が目に入りる,3,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
149,36,階段B棟（救急外来）,324,96,10,1,ガラスの散乱,当直室に続く階段にガラスが散乱している。,登る,当直者と合流,1,無理にいかない,放射線科に戻ってみる,1,ウォーターサーバー転倒,倒れているサーバーを元に戻した,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
150,37,階段A棟,751,428,10,1,手すりの破損,手すりが根元から外れ、ぶら下がっている。,反対側を通行,転落リスクを避け、安全に移動した。,1,手すりを掴む,体重をかけたとたんに外れ、転落した。,9,直そうとする,工具がなく、ただ時間を浪費した。,5,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
151,38,救急外来（EV扉）,485,335,10,1,エレベーター停止,扉が半開きで停止している。中に人はいない。,使用禁止表示,転落事故や閉じ込めを防いだ。,1,中を覗き込む,扉が急に閉まり、頭を挟まれた。,30,ボタンを連打,システムエラーを起こし、復旧が遅れた。,5,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
152,39,救急外来（CT前）,384,397,10,1,ストレッチャー放置,無人のストレッチャーがCT室前を塞いでいる。,端に寄せロック,搬送動線を確保し、スムーズな検査を可能にした。,1,そのまま放置,緊急搬送時に衝突し、患者の処置が遅れた。,5,遠くへ運ぶ,所有者が探すことになり、混乱を招いた。,10,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
153,7,待合（一般撮影室前）,515,403,10,1,天井からの水漏れ,天井配管から汚水がポタポタ漏れている,防水シーツを置く,探すのに手間取るも応急対応,4,あなをふさぐ,脚立を探すのに時間を有した,10,バケツをおく,とりあえずの対応,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
154,41,自動扉（B棟）,573,399,10,1,ガラス扉の損傷,ガラス戸が割れており破片が散乱している,とりあえず破片を片付ける,ほうきを探すのに時間がかかった,7,破片に気をつけて扉を開けてみる,手を怪我する,10,迂回する。通らない。,安全確保,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
155,19,CT横多目的トイレ,296,428,10,1,ドアロック変形,歪みにより鍵が開かなくなっている（中に人がいる可能性）。,声掛け・安否確認,中の人の状況を確認し、パニックを防いだ。,1,蹴破る,ドアが内側に倒れ、中の人が負傷した。,10,こじ開ける,ドアノブが壊れ、完全に開かなくなった。,15,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
156,20,MRI前多目的トイレ,218,310,10,1,配管からの水漏れ,手洗い管が外れ、床が水浸しになっている。,止水栓を閉める,漏水を止め、階下への被害と転倒を防いだ。,2,タオルで拭く,水量が多すぎて防げず、滑って転倒した。,10,,,,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
157,52,アンギオ前室１,163,464,10,1,CARTO機器の損傷,機器が転倒し、側面が破損している。,止水栓を閉める,水漏れを止め、感電や転倒事故を防いだ。,2,タオルで押さえる,水圧が高く止まらず、全身ずぶ濡れになった。,10,,,,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
158,52,アンギオ前室１,163,464,10,2,ドア変形,廊下側の扉破損し、開けにくい。曲がっているように見える,扉付近の段ボールをどける,段ボールが重く腰を痛めた,1,扉を強引に開ける,電源ないため、軽い力で開放できた。,1,自動扉のボタンを押してみる,商用電源喪失中のため、反応なし。,0,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
159,53,B-MRI操作室,135,248,10,1,コンソールエラー,操作コンソールから警報音が鳴り、エラーメッセージが出ている。,エラー記録後OFF,再起動時のトラブルを防ぎ、システムを保護した。,2,モニター電源OFF,画面を焼き付けの防止も後から来た人が状況がわからなくなる。,1,コンセントを抜く,いきなり電源が落ち、PCエラーが起きた。,5,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
160,53,B-MRI操作室,135,248,10,2,酸素濃度計警報,酸素濃度計のアラームが鳴動し、18.5%を示している。,直ちに退避・換気,酸欠事故を未然に防ぎ、命を守った。,1,センサー故障と判断,そのまま留まり、酸欠で意識を失った。,60,立ち入り禁止にした,とりあえず封鎖した,1,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
161,20,MRI前多目的トイレ,218,310,10,1,ドアの変形,ドア枠が歪み、中から開けられないと叫び声が聞こえる。,声掛け・安否確認,中の人を落ち着かせ、パニックを防いだ。,2,無理にこじ開ける,大きな音につられて人が来て救出成功,10,け破る,ドアが内側に倒れ、中の人が負傷するも救出成功,4,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
162,20,MRI前多目的トイレ,218,310,10,2,鏡の落下,洗面台の鏡が割れて床に散乱している。,破片に注意し迂回,怪我をすることなく安全に移動できた。,1,素手で片付ける,手指を深く切り、止血処置が必要になった。,8,踏んでトイレを使用する。,靴底にあるガラス片を周囲に散乱させた,5,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
163,44,RI室,950,108,10,1,エリアモニタ異常,放射線監視モニタの数値が不安定なり、アラームが鳴る。,入室前にBG値確認,サーベイメータで安全を確認し、線量を確認した,2,入室し状況を確認した,汚染に気づかず、被ばくしていた。,2,エリアモニタの再起動をした,故障かわからずとりあえず再起動,4,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
164,44,RI室,950,108,10,2,壁に1mmほどのひび,機器後方の壁に1mm程度ヒビあり,触ってヒビを詳細に確認する,ヒビが大きくなった,2,状況を写真にとる。,あまり目立たないため、写真撮影を凝った。,3,後でわかるように、紙を貼る,保尊箇所の把握を容易とした,1,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
165,50,一般撮影室操作室,510,469,10,1,ポータブルPCの破損,ポータブル用のPCが落下している。,電源をつけてみる,電源が付いてもすぐ消える。,1,USBコネクターの確認,コネクターが曲がっておりUSB端子が一つ使わない。,1,電源ケーブルの確認,抜けている。赤コンセントに接続,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
166,50,一般撮影室操作室,510,469,10,2,モニタ転倒,画像確認用モニタが倒れ、液晶が割れている。画面が付かない。,コンセントを抜く,通電火災のリスクを排除した。,1,ケーブルを外して床の端に置く,2次災害防止,1,叩いて直す,昭和の直し方。無意味な行動で時間を浪費した。,1,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
167,31,救急外来,389,145,10,1,こどもが一人でいる。,不安によりこどもが泣いている。親が処置室で処置を受けている。,相手をする。,こどもの精神的不安軽減。,17,親の状況を確認しに行く,頭部損傷しており、意識不明であることを確認した。,2,職員に引き継ぐ,ひとりでいるのは危険のため受付カウンターで見るようにさせた,4,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
168,31,救急外来,389,145,10,2,床面の体液,床に血液状の液体がこぼれている。,ゾーニング(立入禁止),感染リスクを周知し、二次被害を防いだ。,2,手袋が見当たらず、とりあえず、環境クロスで拭いた,余震により血液に触れてしまった感染症リスクを上げてしまった。,10,しっかりと消毒までする。,汚染の広がりを防いだ,5,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
169,34,救急外来待合,645,103,10,1,パニック患者,患者が「助けてくれ」と叫びながら走り回っている。,大声で誘導・座らせる,パニックを鎮め、将棋倒し等の事故を防いだ。,3,一緒に逃げる,スタッフ欠員のため、現場がさらに混乱した。,5,怒鳴りつける,患者が逆上し、暴行トラブルに発展した。,10,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
170,34,救急外来待合,645,103,10,2,ガラス戸の破損,ガラスが割れて外気が流入している。（気温１度）,立ち入り禁止にする,2次災害防止,4,別の待合を確保する準備をする。,放射線科業務よりも優先して対応した,20,ガラスを片付け、段ボールで応急措置,一応使える状態となった,15,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
171,12,血管撮影操作室,117,419,10,1,診療材料の落下,カテーテルなど棚にある材料が散乱して足の踏み場がない,散乱しているものだけ片付ける,通路確保。,4,棚に戻す,余震によりリセットする可能性あるもとりあえず行った。,8,使用できそうなものだけ分別する。,容器破損あるものとを選別した。,4,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
172,12,血管撮影操作室,117,419,10,2,無停電電源装置(UPS),UPSのアラームが鳴り響いている。,負荷を切り安全停止,バッテリーを持たせ、システムを保護した。,2,停止ボタン連打,強制終了によりシステムエラーが発生した。,3,コンセントを抜く,うるさいので、電源を切るも次ぎ立ち上げた時にエラー有,2,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
173,40,待合（生理検査前）,192,456,10,1,不審な外国人がいる,患者でない外国人が２人血管撮影室へと向かってきょろきょろしながら歩いていく,話しかけて、救急外来に連れていく,外国人の安全確保とひなんに貢献,2,放置する。,放射線科の私物（財布）がなくなった,2,声掛けを行った。,英語で話されたが、帰宅していった,3,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
174,40,待合（生理検査前）,192,456,10,2,携帯電話の発見,だれかの携帯電話を発見した。,だれのか確認する。,ロックがかかっていて誰のかわからない,3,とりあえず、救急外来に届ける,みんなパニックで待ちぼうけを食らう,5,自分で持ち主を探す,少し疲れた。相手に渡せた,6,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
175,45,患者廊下（RI）,940,398,10,3,骨粗鬆症患者の誘導,患者は高齢で足元がおぼつかない。歩様ゆっくり,手を引いて誘導,転倒させずに避難完了。,5,車椅子を探す,見つからず時間をロスした。,10,先に行くよう促す,患者が廊下で転倒し骨折してしまう。,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
176,31,救急外来,389,145,10,2,患者観察依頼,『人手が足らないから手伝って』と言われる。,手伝う。,離れられなくなり、その後の行動不可,50,搬送だけ行って、放射線科に戻る,時間を有した,10,断る,断って自分のやるべきことに戻る,0,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
177,46,準備室（RI）,1004,104,10,2,医療廃棄物が倒れている,部屋の真ん中に倒れている,どかす。,通路確保。,0,廃棄室にもっていく,どかす,1,外観を確認する,亀裂がないことを確認した,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
